Tiempo(s)	HUM1	V1	HUM2	V2	HUM3	V3	HUM4	V4	HUM5	V5	HUM6	V6	HUM7	V7	HUM8	V8
645.0	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14
646.0	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.14	0.30	0.16	0.20	0.15	0.10	0.15	0.00	0.14
647.0	0.30	0.16	0.00	0.14	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.13
648.0	0.10	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14
649.0	0.00	0.14	0.00	0.14	0.00	0.13	0.30	0.16	0.00	0.12	0.20	0.15	0.00	0.14	0.10	0.15
650.0	0.00	0.14	0.10	0.15	0.30	0.16	0.30	0.16	0.40	0.16	0.00	0.14	0.20	0.15	0.00	0.14
651.0	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13
652.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.13	0.30	0.16
653.0	0.10	0.15	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.12	0.00	0.12
654.0	0.20	0.15	0.10	0.15	0.00	0.13	0.20	0.15	0.20	0.15	0.00	0.13	0.00	0.12	0.00	0.14
655.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.13	0.20	0.15
656.0	0.00	0.13	0.20	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.50	0.17	0.20	0.15	0.00	0.14
657.0	0.00	0.14	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.14	0.10	0.15
658.0	0.00	0.13	0.20	0.15	0.50	0.17	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.12	0.00	0.12
659.0	0.00	0.14	0.20	0.15	0.20	0.15	0.00	0.13	0.30	0.16	0.00	0.14	0.00	0.14	0.00	0.13
660.0	0.00	0.14	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.13
661.0	0.00	0.13	0.00	0.12	0.20	0.15	0.40	0.16	0.60	0.17	0.60	0.17	0.00	0.14	0.00	0.13
662.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.20	0.15	0.00	0.14
663.0	0.50	0.17	0.00	0.14	0.50	0.17	0.30	0.16	0.10	0.15	0.00	0.12	0.00	0.14	0.00	0.14
664.0	0.00	0.12	0.40	0.16	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.13
666.0	0.10	0.15	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.20	0.15	0.10	0.15	0.00	0.13
667.0	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13
668.0	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13	0.10	0.15	0.60	0.17	0.00	0.14	0.00	0.14
669.0	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.10	0.15	0.40	0.16	0.00	0.13	0.30	0.16
670.0	0.10	0.15	0.00	0.13	0.10	0.15	0.30	0.16	0.00	0.14	0.40	0.16	0.00	0.14	0.10	0.15
671.0	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14
672.0	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.20	0.15	0.40	0.16	0.00	0.13	0.00	0.14
673.0	0.00	0.12	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.12	0.10	0.15	0.00	0.14	0.00	0.13
674.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14
675.0	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.12	0.00	0.12	0.00	0.13	0.00	0.13
676.0	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.10	0.15
677.0	0.10	0.15	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14
678.0	0.00	0.14	0.20	0.15	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14
679.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.13	0.30	0.16	0.00	0.12
680.0	0.00	0.13	0.00	0.14	0.00	0.14	0.20	0.15	0.20	0.15	0.30	0.16	0.10	0.15	0.00	0.13
681.0	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15
682.0	0.30	0.16	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14
683.0	0.10	0.15	0.00	0.14	0.20	0.15	0.10	0.15	0.00	0.13	0.20	0.15	0.10	0.15	0.00	0.13
684.0	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.20	0.15	0.00	0.14	0.20	0.15	0.10	0.15
685.0	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.30	0.16	0.00	0.14	0.10	0.15	0.00	0.14
686.0	0.30	0.16	0.00	0.13	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.14
687.0	0.30	0.16	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.14	0.00	0.14
688.0	0.00	0.14	0.30	0.16	0.20	0.15	0.00	0.14	0.30	0.16	0.40	0.16	0.30	0.16	0.10	0.15
689.0	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.12	0.30	0.16	0.10	0.15
691.0	0.10	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.14
692.0	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13
693.0	0.00	0.13	0.30	0.16	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14
694.0	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14
695.0	0.10	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.12	0.00	0.13	0.00	0.14	0.00	0.13
696.0	0.00	0.14	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.20	0.15
697.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.30	0.16	0.00	0.13	0.00	0.14
698.0	0.00	0.13	0.20	0.15	0.30	0.16	0.00	0.14	0.00	0.14	0.00	0.11	0.10	0.15	0.20	0.15
699.0	0.00	0.13	0.10	0.15	0.00	0.13	0.30	0.16	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.12
700.0	0.00	0.14	0.00	0.13	0.00	0.13	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14
701.0	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13
702.0	0.00	0.14	0.40	0.16	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14
703.0	0.10	0.15	0.00	0.14	0.30	0.16	0.10	0.15	0.00	0.13	0.00	0.12	0.00	0.14	0.20	0.15
704.0	0.20	0.15	0.10	0.15	0.00	0.14	0.50	0.17	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14
705.0	0.30	0.16	0.00	0.12	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.12	0.20	0.15	0.00	0.13
706.0	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14
707.0	0.20	0.15	0.40	0.16	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14
708.0	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.12	0.00	0.14	0.10	0.15
709.0	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.14	0.00	0.13
710.0	0.00	0.13	0.20	0.15	0.00	0.14	0.10	0.15	0.30	0.16	0.00	0.13	0.00	0.13	0.10	0.15
711.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13
712.0	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.13	0.00	0.14
713.0	0.30	0.16	0.00	0.13	0.10	0.15	0.00	0.14	0.30	0.16	0.20	0.15	0.00	0.14	0.00	0.13
714.0	0.60	0.17	0.00	0.12	0.20	0.15	0.40	0.16	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14
715.0	0.40	0.16	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.12	0.00	0.12	0.00	0.13	0.20	0.15
717.0	0.30	0.16	0.00	0.13	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14
718.0	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.14	0.30	0.16
719.0	0.10	0.15	0.10	0.15	0.50	0.17	0.00	0.14	0.90	0.19	0.40	0.16	0.00	0.14	0.00	0.14
720.0	0.00	0.14	0.40	0.16	0.00	0.14	0.00	0.14	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.14
721.0	0.40	0.16	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.13
722.0	0.10	0.15	0.00	0.13	0.00	0.13	0.20	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.20	0.15
723.0	0.00	0.13	0.00	0.14	0.10	0.15	0.30	0.16	0.20	0.15	0.40	0.16	0.00	0.14	0.00	0.13
724.0	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.30	0.16	0.00	0.13	0.00	0.14	0.00	0.14
725.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.12	0.00	0.13	0.00	0.13
726.0	0.00	0.13	0.30	0.16	0.00	0.14	0.00	0.14	0.40	0.16	0.00	0.13	0.10	0.15	0.00	0.14
727.0	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.11	0.10	0.15	0.00	0.14
728.0	0.00	0.14	0.40	0.16	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.12	0.10	0.15	0.30	0.16
729.0	0.00	0.13	0.40	0.16	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.20	0.15
730.0	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14
731.0	0.10	0.15	0.40	0.16	0.00	0.14	0.00	0.14	0.20	0.15	0.10	0.15	0.30	0.16	0.00	0.14
732.0	0.50	0.17	0.00	0.13	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.20	0.15
733.0	0.10	0.15	0.30	0.16	0.00	0.14	0.00	0.14	0.30	0.16	0.50	0.17	0.20	0.15	0.00	0.14
734.0	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14
735.0	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14
736.0	0.00	0.13	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14
737.0	0.00	0.14	0.40	0.16	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14	0.10	0.15
738.0	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14
739.0	0.20	0.15	0.10	0.15	0.30	0.16	0.40	0.16	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.13
740.0	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15	0.20	0.15	0.60	0.17	0.00	0.14	0.30	0.16
741.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.13
743.0	0.30	0.16	0.00	0.14	0.30	0.16	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.10	0.15
744.0	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14	0.50	0.17	0.00	0.14	0.00	0.14
745.0	0.20	0.15	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14
746.0	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14	0.10	0.15	0.10	0.15
747.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.14
748.0	0.10	0.15	0.20	0.15	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.13	0.00	0.14
749.0	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.13	0.10	0.15	0.20	0.15	0.00	0.13	0.20	0.15
750.0	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.13
751.0	0.00	0.14	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14
752.0	0.10	0.15	0.00	0.12	0.30	0.16	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15
753.0	0.10	0.15	0.20	0.15	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.14
754.0	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.14
755.0	0.30	0.16	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13
756.0	0.30	0.16	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.13
757.0	0.00	0.14	0.30	0.16	0.00	0.14	0.10	0.15	0.30	0.16	0.00	0.14	0.10	0.15	0.00	0.14
758.0	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.11	0.00	0.12	0.00	0.12	0.00	0.13
759.0	0.00	0.14	0.10	0.15	0.00	0.12	0.00	0.14	0.00	0.13	0.00	0.13	0.10	0.15	0.00	0.13
760.0	0.90	0.19	0.00	0.11	0.50	0.17	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15
761.0	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.13	0.00	0.14
762.0	0.00	0.14	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.12	0.10	0.15	0.00	0.11
763.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.13	0.10	0.15
764.0	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.12
765.0	0.00	0.13	0.00	0.14	0.00	0.12	0.30	0.16	0.10	0.15	0.00	0.11	0.10	0.15	0.30	0.16
766.0	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.13	0.40	0.16
768.0	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.20	0.15	0.10	0.15
769.0	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.12	0.00	0.14	0.00	0.13
770.0	0.30	0.16	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.12	0.00	0.13	0.00	0.14	0.00	0.13
771.0	0.00	0.14	0.00	0.14	0.00	0.13	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15
772.0	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.40	0.16	0.00	0.14	0.00	0.13
773.0	0.00	0.14	0.20	0.15	0.20	0.15	0.00	0.14	0.10	0.15	0.20	0.15	0.00	0.13	0.00	0.14
774.0	0.10	0.15	0.00	0.13	0.30	0.16	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14
775.0	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.20	0.15	0.10	0.15
776.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14	0.10	0.15	0.10	0.15	0.10	0.15
777.0	0.20	0.15	0.10	0.15	0.00	0.14	0.40	0.16	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13
778.0	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.20	0.15
779.0	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.40	0.16	0.00	0.14	0.00	0.14	0.00	0.14
780.0	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.20	0.15	0.00	0.12	0.00	0.14	0.00	0.13
781.0	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.13	0.20	0.15	0.50	0.17	0.20	0.15	0.00	0.14
782.0	0.20	0.15	0.20	0.15	0.30	0.16	0.20	0.15	0.00	0.12	0.00	0.13	0.00	0.13	0.00	0.14
783.0	0.00	0.13	0.00	0.14	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14
784.0	0.10	0.15	0.30	0.16	0.00	0.12	0.50	0.17	0.20	0.15	0.00	0.14	0.00	0.14	0.00	0.14
785.0	0.30	0.16	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14
786.0	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.12	0.00	0.14	0.00	0.13
787.0	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14	0.30	0.16	0.00	0.14	0.10	0.15
788.0	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13
789.0	0.00	0.13	0.10	0.15	0.50	0.17	0.10	0.15	0.40	0.16	0.20	0.15	0.00	0.14	0.00	0.14
790.0	0.00	0.13	0.30	0.16	0.00	0.14	0.10	0.15	0.30	0.16	0.20	0.15	0.00	0.13	0.00	0.14
791.0	0.10	0.15	0.10	0.15	0.40	0.16	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.30	0.16
793.0	0.20	0.15	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14	0.10	0.15	0.00	0.14
794.0	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.11	0.00	0.13	0.20	0.15
795.0	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.13	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15
796.0	0.00	0.13	0.20	0.15	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13	0.00	0.12
797.0	0.00	0.14	0.40	0.16	0.00	0.14	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.14	0.20	0.15
798.0	0.10	0.15	0.00	0.14	0.30	0.16	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.13
799.0	0.30	0.16	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.12	0.00	0.13	0.00	0.14
800.0	0.00	0.13	0.20	0.15	0.50	0.17	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.13
801.0	0.00	0.14	0.00	0.14	0.30	0.16	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.13
802.0	0.10	0.15	0.30	0.16	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.10	0.15	0.00	0.12
803.0	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.30	0.16	0.20	0.15	0.00	0.14	0.00	0.13
804.0	0.30	0.16	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14
805.0	0.30	0.16	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.11	0.00	0.14	0.00	0.13	0.00	0.14
806.0	0.00	0.14	0.10	0.15	0.00	0.14	0.30	0.16	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.13
807.0	0.00	0.13	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13	0.20	0.15	0.00	0.13
808.0	0.00	0.14	0.00	0.12	0.30	0.16	0.00	0.12	0.10	0.15	0.50	0.17	0.00	0.14	0.00	0.14
809.0	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.11	0.00	0.14	0.10	0.15
810.0	0.00	0.13	0.20	0.15	0.00	0.14	0.20	0.15	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.14
811.0	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.13	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.13
812.0	0.00	0.14	0.00	0.14	0.10	0.15	0.10	0.15	0.10	0.15	0.00	0.11	0.00	0.13	0.00	0.14
813.0	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.10	0.15	0.30	0.16	0.30	0.16	0.00	0.14
814.0	0.00	0.13	0.20	0.15	0.00	0.12	0.00	0.14	0.10	0.15	0.00	0.11	0.00	0.14	0.20	0.15
815.0	0.10	0.15	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.13
816.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14
817.0	0.10	0.15	0.30	0.16	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.13	0.20	0.15
819.0	0.10	0.15	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13
820.0	0.10	0.15	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.14
821.0	0.20	0.15	0.00	0.14	0.00	0.13	0.10	0.15	0.20	0.15	0.10	0.15	0.00	0.14	0.00	0.14
822.0	0.30	0.16	0.00	0.13	0.00	0.14	0.30	0.16	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13
823.0	0.00	0.12	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.00	0.12	0.00	0.13	0.00	0.14
824.0	0.20	0.15	0.00	0.14	0.30	0.16	0.10	0.15	0.10	0.15	0.20	0.15	0.00	0.14	0.00	0.13
825.0	0.00	0.13	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.13
826.0	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13
827.0	0.10	0.15	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.14	0.60	0.17	0.10	0.15	0.00	0.14
828.0	0.00	0.14	0.30	0.16	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.12	0.00	0.13	0.00	0.13
829.0	0.00	0.14	0.00	0.14	0.00	0.14	0.30	0.16	0.20	0.15	0.00	0.13	0.10	0.15	0.10	0.15
830.0	0.10	0.15	0.10	0.15	0.00	0.13	0.30	0.16	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.14
831.0	0.00	0.14	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.14	0.10	0.15	0.10	0.15	0.00	0.14
832.0	0.30	0.16	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.13	0.20	0.15	0.00	0.14	0.00	0.14
833.0	0.20	0.15	0.00	0.13	0.20	0.15	0.00	0.14	0.20	0.15	0.50	0.17	0.00	0.14	0.40	0.16
834.0	0.00	0.14	0.00	0.14	0.00	0.13	0.20	0.15	0.00	0.13	0.00	0.12	0.00	0.14	0.00	0.14
835.0	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.13
836.0	0.00	0.13	0.00	0.14	0.00	0.13	0.40	0.16	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.11
837.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.00	0.14	0.00	0.13	0.00	0.13
838.0	0.00	0.14	0.00	0.12	0.00	0.14	0.20	0.15	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.13
839.0	0.00	0.13	0.00	0.13	0.00	0.13	0.00	0.14	0.20	0.15	0.00	0.13	0.00	0.14	0.20	0.15
840.0	0.00	0.14	0.40	0.16	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.20	0.15	0.10	0.15
841.0	0.10	0.15	0.10	0.15	0.00	0.13	0.20	0.15	0.00	0.14	0.20	0.15	0.00	0.14	0.20	0.15
842.0	0.00	0.14	0.40	0.16	0.00	0.13	0.10	0.15	0.00	0.13	0.00	0.13	0.00	0.14	0.00	0.13
843.0	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13
845.0	0.10	0.15	0.10	0.15	0.30	0.16	0.00	0.14	0.00	0.13	0.00	0.13	0.00	0.14	0.30	0.16
846.0	0.00	0.14	0.00	0.14	0.00	0.14	0.40	0.16	0.00	0.14	0.20	0.15	0.10	0.15	0.20	0.15
847.0	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.12	0.00	0.13	0.40	0.16
848.0	0.10	0.15	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15
849.0	0.20	0.15	0.00	0.14	0.40	0.16	0.10	0.15	0.00	0.14	0.00	0.13	0.00	0.14	0.00	0.14
850.0	0.20	0.15	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.13	0.10	0.15	0.10	0.15	0.00	0.14
851.0	0.00	0.12	0.00	0.12	0.30	0.16	0.30	0.16	0.40	0.16	0.20	0.15	0.00	0.14	0.20	0.15
852.0	0.00	0.13	0.00	0.14	0.00	0.14	0.00	0.13	0.00	0.12	0.00	0.12	0.10	0.15	0.10	0.15
853.0	0.10	0.15	0.20	0.15	0.00	0.14	0.30	0.16	0.00	0.13	0.30	0.16	0.00	0.13	0.00	0.14
854.0	0.00	0.14	0.20	0.15	0.20	0.15	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.13	0.00	0.14
855.0	0.10	0.15	0.00	0.14	0.10	0.15	0.40	0.16	0.00	0.14	0.00	0.11	0.10	0.15	0.20	0.15
856.0	0.00	0.14	0.00	0.14	0.00	0.14	0.10	0.15	0.00	0.14	0.00	0.11	0.30	0.16	0.20	0.15
